HOME;AWAY;FTHG;FTAG;DIFF
Aston Villa;Sheffield Utd;1;1;0
Crystal Palace;Brighton;1;1;0
Liverpool;Manchester Utd;0;0;0
Arsenal;Brighton;2;0;2
Brentford;Aston Villa;1;2;-1
West Ham;Wolves;3;0;3
Burnley;Everton;0;2;-2
Chelsea;Sheffield Utd;2;0;2
Manchester City;Crystal Palace;2;2;0
Newcastle;Fulham;3;0;3
Nottingham;Tottenham;0;2;-2
Tottenham;Newcastle;4;1;3
Everton;Chelsea;2;0;2
Fulham;West Ham;5;0;5
Luton;Manchester City;1;2;-1
Aston Villa;Arsenal;1;0;1
Brighton;Burnley;1;1;0
Manchester Utd;Bournemouth;0;3;-3
Sheffield Utd;Brentford;1;0;1
Wolves;Nottingham;1;1;0
Crystal Palace;Liverpool;1;2;-1
Tottenham;West Ham;1;2;-1
Everton;Newcastle;3;0;3
Aston Villa;Manchester City;1;0;1
Manchester Utd;Chelsea;2;1;1
Brighton;Brentford;2;1;1
Crystal Palace;Bournemouth;0;2;-2
Fulham;Nottingham;5;0;5
Sheffield Utd;Liverpool;0;2;-2
Luton;Arsenal;3;4;-1
Wolves;Burnley;1;0;1
Manchester City;Tottenham;3;3;0
Bournemouth;Aston Villa;2;2;0
Chelsea;Brighton;3;2;1
Liverpool;Fulham;4;3;1
West Ham;Crystal Palace;1;1;0
Newcastle;Manchester Utd;1;0;1
Nottingham;Everton;0;1;-1
Arsenal;Wolves;2;1;1
Brentford;Luton;3;1;2
Burnley;Sheffield Utd;5;0;5
Fulham;Wolves;3;2;1
Everton;Manchester Utd;0;3;-3
Tottenham;Aston Villa;1;2;-1
Brentford;Arsenal;0;1;-1
Burnley;West Ham;1;2;-1
Luton;Crystal Palace;2;1;1
Newcastle;Chelsea;4;1;3
Nottingham;Brighton;2;3;-1
Sheffield Utd;Bournemouth;1;3;-2
Manchester City;Liverpool;1;1;0
Chelsea;Manchester City;4;4;0
Aston Villa;Fulham;3;1;2
Brighton;Sheffield Utd;1;1;0
Liverpool;Brentford;3;0;3
West Ham;Nottingham;3;2;1
Bournemouth;Newcastle;2;0;2
Arsenal;Burnley;3;1;2
Crystal Palace;Everton;2;3;-1
Manchester Utd;Luton;1;0;1
Wolves;Tottenham;2;1;1
Tottenham;Chelsea;1;4;-3
Luton;Liverpool;1;1;0
Nottingham;Aston Villa;2;0;2
Newcastle;Arsenal;1;0;1
Brentford;West Ham;3;2;1
Burnley;Crystal Palace;0;2;-2
Everton;Brighton;1;1;0
Manchester City;Bournemouth;6;1;5
Sheffield Utd;Wolves;2;1;1
Fulham;Manchester Utd;0;1;-1
Manchester Utd;Manchester City;0;3;-3
Aston Villa;Luton;3;1;2
Brighton;Fulham;1;1;0
Liverpool;Nottingham;3;0;3
West Ham;Everton;0;1;-1
Wolves;Newcastle;2;2;0
Arsenal;Sheffield Utd;5;0;5
Bournemouth;Burnley;2;1;1
Chelsea;Brentford;0;2;-2
Crystal Palace;Tottenham;1;2;-1
Tottenham;Fulham;2;0;2
Aston Villa;West Ham;4;1;3
Sheffield Utd;Manchester Utd;1;2;-1
Chelsea;Arsenal;2;2;0
Bournemouth;Wolves;1;2;-1
Brentford;Burnley;3;0;3
Manchester City;Brighton;2;1;1
Newcastle;Crystal Palace;4;0;4
Nottingham;Luton;2;2;0
Liverpool;Everton;2;0;2
Arsenal;Manchester City;1;0;1
Brighton;Liverpool;2;2;0
West Ham;Newcastle;2;2;0
Wolves;Aston Villa;1;1;0
Crystal Palace;Nottingham;0;0;0
Burnley;Chelsea;1;4;-3
Everton;Bournemouth;3;0;3
Fulham;Sheffield Utd;3;1;2
Manchester Utd;Brentford;2;1;1
Luton;Tottenham;0;1;-1
Luton;Burnley;1;2;-1
Fulham;Chelsea;0;2;-2
Nottingham;Brentford;1;1;0
Tottenham;Liverpool;2;1;1
Bournemouth;Arsenal;0;4;-4
Everton;Luton;1;2;-1
Manchester Utd;Crystal Palace;0;1;-1
Newcastle;Burnley;2;0;2
West Ham;Sheffield Utd;2;0;2
Wolves;Manchester City;2;1;1
Aston Villa;Brighton;6;1;5
Sheffield Utd;Newcastle;0;8;-8
Arsenal;Tottenham;2;2;0
Brighton;Bournemouth;3;1;2
Chelsea;Aston Villa;0;1;-1
Liverpool;West Ham;3;1;2
Burnley;Manchester Utd;0;1;-1
Brentford;Everton;1;3;-2
Crystal Palace;Fulham;0;0;0
Luton;Wolves;1;1;0
Manchester City;Nottingham;2;0;2
Nottingham;Burnley;1;1;0
Everton;Arsenal;0;1;-1
Bournemouth;Chelsea;0;0;0
Newcastle;Brentford;1;0;1
Aston Villa;Crystal Palace;3;1;2
Fulham;Luton;1;0;1
Manchester Utd;Brighton;1;3;-2
Tottenham;Sheffield Utd;2;1;1
West Ham;Manchester City;1;3;-2
Wolves;Liverpool;1;3;-2
Arsenal;Manchester Utd;3;1;2
Crystal Palace;Wolves;3;2;1
Liverpool;Aston Villa;3;0;3
Brighton;Newcastle;3;1;2
Brentford;Bournemouth;2;2;0
Burnley;Tottenham;2;5;-3
Chelsea;Nottingham;0;1;-1
Manchester City;Fulham;5;1;4
Sheffield Utd;Everton;2;2;0
Luton;West Ham;1;2;-1
Newcastle;Liverpool;1;2;-1
Burnley;Aston Villa;1;3;-2
Sheffield Utd;Manchester City;1;2;-1
Brighton;West Ham;1;3;-2
Arsenal;Fulham;2;2;0
Brentford;Crystal Palace;1;1;0
Everton;Wolves;0;1;-1
Manchester Utd;Nottingham;3;2;1
Bournemouth;Tottenham;0;2;-2
Chelsea;Luton;3;0;3
Crystal Palace;Arsenal;0;1;-1
West Ham;Chelsea;3;1;2
Aston Villa;Everton;4;0;4
Manchester City;Newcastle;1;0;1
Tottenham;Manchester Utd;2;0;2
Fulham;Brentford;0;3;-3
Liverpool;Bournemouth;3;1;2
Wolves;Brighton;1;4;-3
Nottingham;Sheffield Utd;2;1;1
Manchester Utd;Wolves;1;0;1
Chelsea;Liverpool;1;1;0
Brentford;Tottenham;2;2;0
Newcastle;Aston Villa;5;1;4
Bournemouth;West Ham;1;1;0
Brighton;Luton;4;1;3
Everton;Fulham;0;1;-1
Sheffield Utd;Crystal Palace;0;1;-1
Arsenal;Nottingham;2;1;1
Burnley;Manchester City;0;3;-3
